AT1G02228	AT1TE01405
AT2G10160	AT2TE16530
AT2G10165	AT2TE16540
AT2G10170	AT2TE16560
AT2G10175	NA
AT2G10180	AT2TE16575
AT2G10190	NA
AT2G10200	AT2TE16605
AT2G10205	NA
AT2G10210	AT2TE16620
AT2G10220	AT2TE16635
AT2G10223	AT2TE16645
AT2G10226	AT2TE16650
AT2G10230	AT2TE16660
AT2G10232	AT2TE16660
AT2G10234	AT2TE16660
AT2G10237	AT2TE16660
AT2G10240	NA
AT2G10250	NA
AT2G10253	NA
AT2G10256	NA
AT2G10265	AT2TE16795
AT2G10270	AT2TE16800
AT2G10280	NA
AT2G10285	AT2TE16825
AT2G10290	NA
AT2G10300	AT2TE16800
AT2G10310	AT2TE16865
AT2G10320	AT2TE16885
AT2G10330	NA
AT2G10350	AT2TE16930
AT2G10360	AT2TE16930
AT2G10370	AT2TE16930
AT2G10380	AT2TE16930
AT2G10390	AT2TE16930
AT2G10400	AT2TE16930
AT2G10405	AT2TE16940
AT2G10410	AT2TE16945
AT2G10420	AT2TE16955
AT2G10460	AT2TE17095
AT2G10465	AT2TE17095
AT2G10470	AT2TE17095
AT2G10480	AT2TE17110
AT2G10490	AT2TE17110
AT2G10500	AT2TE17095
AT2G10510	AT2TE17145
AT2G10520	AT2TE17165
AT2G10530	AT2TE17170
AT2G10540	AT2TE17305
AT2G10555	AT2TE17335
AT2G10570	AT2TE17380
AT2G10590	AT2TE17405
AT2G10600	NA
AT2G10605	AT2TE17490
AT2G10610	AT2TE17390
AT2G10611	AT2TE17550
AT2G10614	AT2TE17570
AT2G10617	NA
AT2G10620	AT2TE17585
AT2G10630	AT2TE17600
AT2G10640	AT2TE17600
AT2G10650	NA
AT2G10660	AT2TE17625
AT2G10670	AT2TE17695
AT2G10680	AT2TE17725
AT2G10690	AT2TE17725
AT2G10710	AT2TE17770
AT2G10720	AT2TE17795
AT2G10730	AT2TE17805
AT2G10740	AT2TE17725
AT2G10760	AT2TE17870
AT2G10770	AT2TE17875
AT2G10780	AT2TE17875
AT2G10790	AT2TE17875
AT2G10800	AT2TE17880
AT2G10802	NA
AT2G10810	AT2TE17925
AT2G10820	NA
AT2G10830	AT2TE17975
AT2G10833	AT2TE17975
AT2G10836	AT2TE17975
AT2G10840	AT2TE17975
AT2G10850	AT2TE17985
AT2G10860	AT2TE17985
AT2G10870	AT2TE18000
AT2G10880	AT2TE18005
AT2G10890	AT2TE18015
AT2G10895	AT2TE18015
AT2G10900	NA
AT2G10910	AT2TE18035
AT2G10960	AT2TE18155
AT2G10980	AT2TE18240
AT2G11020	AT2TE18375
AT2G11030	AT2TE18385
AT2G11040	AT2TE18395
AT2G11050	NA
AT2G11060	AT2TE18415
AT2G11070	AT2TE18415
AT2G11080	NA
AT2G11090	AT2TE18440
AT2G11100	AT2TE18435
AT2G11110	AT2TE18450
AT2G11115	AT2TE18455
AT2G11120	AT2TE18455
AT2G11130	AT2TE18455
AT2G11135	AT2TE18465
AT2G11140	NA
AT2G11150	AT2TE18505
AT2G11165	NA
AT2G11166	NA
AT2G11168	AT2TE18605
AT2G11170	NA
AT2G11180	AT2TE18665
AT2G11190	AT2TE18670
AT2G11210	AT2TE18695
AT2G11220	AT2TE18710
AT2G11230	NA
AT2G11235	AT2TE18710
AT2G11240	NA
AT2G11290	AT2TE18825
AT2G11300	AT2TE18830
AT2G11310	AT2TE18830
AT2G11320	NA
AT2G11330	AT2TE18875
AT2G11340	NA
AT2G11345	AT2TE18915
AT2G11350	AT2TE18920
AT2G11360	AT2TE18920
AT2G11370	AT2TE18920
AT2G11380	AT2TE18920
AT2G11390	AT2TE18935
AT2G11400	AT2TE18940
AT2G11410	NA
AT2G11420	AT2TE18975
AT2G11430	AT2TE18980
AT2G11450	AT2TE19005
AT2G11460	AT2TE19025
AT2G11465	AT2TE19065
AT2G11480	AT2TE19070
AT2G11485	AT2TE19070
AT2G11490	AT2TE19070
AT2G11500	AT2TE19075
AT2G11502	AT2TE19070
AT2G11504	NA
AT2G11507	NA
AT2G11510	AT2TE19110
AT2G11530	AT2TE19175
AT2G11550	AT2TE19200
AT2G11590	AT2TE19240
AT2G11600	NA
AT2G11610	AT2TE19355
AT2G11640	AT2TE19400
AT2G11650	AT2TE19435
AT2G11660	AT2TE19445
AT2G11670	AT2TE19475
AT2G11680	NA
AT2G11690	AT2TE19505
AT2G11700	NA
AT2G11720	NA
AT2G11730	AT2TE19555
AT2G11740	AT2TE19565
AT2G11750	AT2TE19575
AT2G11770	AT2TE19590
AT2G11775	NA
AT2G11780	NA
AT2G11790	AT2TE19615
AT2G11800	NA
AT2G11820	AT2TE19735
AT2G11830	NA
AT2G11840	NA
AT2G11850	AT2TE19865
AT2G11880	NA
AT2G11940	NA
AT2G11950	NA
AT2G11970	AT2TE20015
AT2G11980	AT2TE20020
AT2G12000	AT2TE20045
AT2G12010	AT2TE20075
AT2G12020	AT2TE20075
AT2G12025	NA
AT2G12040	AT2TE20105
AT2G12060	AT2TE20140
AT2G12066	AT2TE20140
AT2G12083	AT2TE20140
AT2G12100	AT2TE20160
AT2G12110	AT2TE20160
AT2G12120	AT2TE20160
AT2G12130	AT2TE20160
AT2G12140	AT2TE20160
AT2G12150	AT2TE20160
AT2G12195	NA
AT2G12210	AT2TE20205
AT2G12240	AT2TE20220
AT2G12250	AT2TE20220
AT2G12260	AT2TE20220
AT2G12270	NA
AT2G12300	AT2TE20255
AT2G12305	AT2TE20255
AT2G12320	AT2TE20260
AT2G12325	NA
AT2G12330	AT2TE20330
AT2G12340	NA
AT2G12345	AT2TE20420
AT2G12360	AT2TE20420
AT2G12370	AT2TE20435
AT2G12380	AT2TE20435
AT2G12385	NA
AT2G12390	AT2TE20480
AT2G12407	NA
AT2G12410	AT2TE20645
AT2G12420	NA
AT2G12430	AT2TE20680
AT2G12440	NA
AT2G12450	AT2TE20735
AT2G12460	AT2TE20735
AT2G12470	AT2TE20835
AT2G12490	AT2TE20870
AT2G12500	NA
AT2G12505	AT2TE20945
AT2G12510	AT2TE20960
AT2G12520	AT2TE20960
AT2G12530	AT2TE20965
AT2G12540	NA
AT2G12560	AT2TE21020
AT2G12570	AT2TE21045
AT2G12580	AT2TE21050
AT2G12590	AT2TE21055
AT2G12600	AT2TE21055
AT2G12610	NA
AT2G12620	AT2TE21090
AT2G12630	AT2TE21105
AT2G12640	AT2TE21125
AT2G12650	NA
AT2G12670	AT2TE21265
AT2G12680	AT2TE21295
AT2G12685	AT2TE21295
AT2G12690	AT2TE21295
AT2G12695	AT2TE21295
AT2G12700	AT2TE21295
AT2G12710	AT2TE21295
AT2G12720	AT2TE21295
AT2G12730	NA
AT2G12740	AT2TE21345
AT2G12750	NA
AT2G12760	AT2TE21360
AT2G12770	AT2TE21380
AT2G12780	NA
AT2G12800	NA
AT2G12810	NA
AT2G12815	AT2TE21450
AT2G12820	NA
AT2G12830	NA
AT2G12832	AT2TE21480
AT2G12835	NA
AT2G12840	AT2TE21505
AT2G12845	AT2TE21505
AT2G12850	NA
AT2G12855	AT2TE21510
AT2G12860	AT2TE21530
AT2G12870	AT2TE21530
AT2G12910	AT2TE21605
AT2G12920	AT2TE21605
AT2G12930	AT2TE21610
AT2G12950	NA
AT2G12960	AT2TE21680
AT2G12970	AT2TE21705
AT2G12980	AT2TE21710
AT2G12990	AT2TE21710
AT2G13000	AT2TE21710
AT2G13010	AT2TE21730
AT2G13020	AT2TE21745
AT2G13040	AT2TE21760
AT2G13050	AT2TE21765
AT2G13060	AT2TE21765
AT2G13070	AT2TE21760
AT2G13080	NA
AT2G13090	NA
AT2G13110	AT2TE21855
AT2G13118	AT2TE21915
AT2G13120	AT2TE21925
AT2G13140	AT2TE21970
AT2G13142	AT2TE21975
AT2G13143	NA
AT2G13160	AT2TE22040
AT2G13170	AT2TE22065
AT2G13175	AT2TE22075
AT2G13180	NA
AT2G13190	AT2TE22175
AT2G13200	NA
AT2G13230	AT2TE22185
AT2G13240	AT2TE22220
AT2G13250	NA
AT2G13260	AT2TE22235
AT2G13270	AT2TE22245
AT2G13280	AT2TE22295
AT2G13300	AT2TE22315
AT2G13310	AT2TE22335
AT2G13320	AT2TE22335
AT2G13330	AT2TE22345
AT2G13335	AT2TE22345
AT2G13380	NA
AT2G13390	NA
AT2G13400	AT2TE22520
AT2G13431	NA
AT2G13460	AT2TE22635
AT2G13470	AT2TE22720
AT2G13480	AT2TE22720
AT2G13490	AT2TE22725
AT2G13520	AT2TE22740
AT2G13530	NA
AT2G13700	AT2TE23120
AT2G13710	NA
AT2G13730	AT2TE23175
AT2G13740	AT2TE23180
AT2G13750	AT2TE23185
AT2G13830	AT2TE23510
AT2G13850	AT2TE23545
AT2G13860	AT2TE23670
AT2G13865	AT2TE23705
AT2G13870	AT2TE23705
AT2G13890	NA
AT2G13930	AT2TE23845
AT2G13940	AT2TE23855
AT2G13970	AT2TE23870
AT2G13975	AT2TE23870
AT2G13990	AT2TE23940
AT2G14010	AT2TE23965
AT2G14020	AT2TE23965
AT2G14030	AT2TE23965
AT2G14040	AT2TE24035
AT2G14130	AT2TE24335
AT2G14140	AT2TE24335
AT2G14150	AT2TE24335
AT2G14180	AT2TE24385
AT2G14190	AT2TE24410
AT2G14200	AT2TE24460
AT2G14220	AT2TE24520
AT2G14230	AT2TE24525
AT2G14240	AT2TE24525
AT2G14245	AT2TE24530
AT2G14280	AT2TE24635
AT2G14300	AT2TE24680
AT2G14310	AT2TE24680
AT2G14320	AT2TE24735
AT2G14330	AT2TE24735
AT2G14335	AT2TE24735
AT2G14340	AT2TE24735
AT2G14350	AT2TE24735
AT2G14370	AT2TE24800
AT2G14380	AT2TE24850
AT2G14400	NA
AT2G14415	NA
AT2G14420	AT2TE24935
AT2G14430	NA
AT2G14450	AT2TE25020
AT2G14455	AT2TE25020
AT2G14470	AT2TE25020
AT2G14535	NA
AT2G14570	NA
AT2G14590	NA
AT2G14595	AT2TE25400
AT2G14600	AT2TE25410
AT2G14605	AT2TE25430
AT2G14630	AT2TE25495
AT2G14640	NA
AT2G14650	AT2TE25540
AT2G14730	AT2TE25740
AT2G14770	AT2TE25840
AT2G14772	AT2TE25840
AT2G14774	AT2TE25840
AT2G14777	AT2TE25840
AT2G14780	AT2TE25840
AT2G14790	AT2TE25840
AT2G14793	NA
AT2G14796	AT2TE25875
AT2G14843	NA
AT2G14930	AT2TE26230
AT2G14940	AT2TE26275
AT2G14950	AT2TE26315
AT2G14970	NA
AT2G14980	AT2TE26380
AT2G14990	NA
AT2G15045	NA
AT2G15060	NA
AT2G15070	AT2TE26680
AT2G15100	NA
AT2G15140	AT2TE26855
AT2G15145	AT2TE26855
AT2G15150	AT2TE26855
AT2G15160	AT2TE26875
AT2G15190	AT2TE26910
AT2G15200	AT2TE26910
AT2G15210	AT2TE26910
AT2G15250	NA
AT2G15330	AT2TE27220
AT2G15380	AT2TE27390
AT2G15410	NA
AT2G15510	AT2TE27645
AT2G15520	AT2TE27645
AT2G15540	AT2TE27670
AT2G15550	AT2TE27670
AT2G15600	AT2TE27765
AT2G15650	AT2TE27820
AT2G15700	AT2TE27870
AT2G15720	AT2TE27880
AT2G15750	AT2TE27950
AT2G15800	AT2TE28020
AT2G15810	NA
AT2G15815	AT2TE28035
AT2G15870	AT2TE28160
AT2G15920	AT2TE28260
AT2G15940	NA
AT2G15990	NA
AT2G16000	AT2TE28325
AT2G16010	AT2TE28350
AT2G16140	NA
AT2G16150	AT2TE28565
AT2G16160	AT2TE28565
AT2G16170	AT2TE28565
AT2G16180	AT2TE28565
AT2G16320	AT2TE28755
AT2G16330	AT2TE28755
AT2G16410	AT2TE28955
AT2G16420	AT2TE28955
AT2G16540	NA
AT2G16560	AT2TE29220
AT2G16610	AT2TE29340
AT2G16670	AT2TE29450
AT2G16680	AT2TE29460
AT2G16690	AT2TE29460
AT2G16820	AT2TE29725
AT2G16832	AT2TE29730
AT2G16840	NA
AT2G17115	AT2TE30555
AT2G17460	AT2TE31215
AT2G17490	AT2TE31290
AT2G17610	NA
AT2G17910	AT2TE32120
AT2G18580	AT2TE33485
AT2G18820	AT2TE33890
AT2G19100	AT2TE34410
AT2G19140	NA
AT2G19755	NA
AT2G19803	NA
AT2G19806	AT2TE35770
AT2G19825	AT2TE35805
AT2G19840	AT2TE35840
AT2G20460	AT2TE37050
AT2G20600	AT2TE37330
AT2G21000	NA
AT2G21310	AT2TE38575
AT2G21460	NA
AT2G22210	NA
AT2G22350	AT2TE40405
AT2G22710	NA
AT2G23330	AT2TE42485
AT2G23480	AT2TE42810
AT2G23490	AT2TE42810
AT2G23500	AT2TE42810
AT2G23710	AT2TE43165
AT2G23720	AT2TE43165
AT2G23880	NA
AT2G24660	AT2TE45020
AT2G24760	AT2TE45280
AT2G24890	AT2TE45465
AT2G24900	AT2TE45465
AT2G24910	AT2TE45465
AT2G24915	AT2TE45465
AT2G24920	AT2TE45465
AT2G24930	AT2TE45465
AT2G25550	NA
AT2G25975	AT2TE47765
AT2G26215	NA
AT2G26630	AT2TE48990
AT2G27375	NA
AT2G27870	AT2TE51630
AT2G27935	NA
AT2G28053	NA
AT2G28750	AT2TE53790
AT2G28980	AT2TE54360
AT2G29165	AT2TE54780
AT2G29230	AT2TE54910
AT2G29240	AT2TE54910
AT2G30640	AT2TE57160
AT2G31080	AT2TE58010
AT2G31520	NA
AT2G34130	AT2TE63800
AT2G34835	AT2TE65220
AT2G36040	AT2TE67330
AT2G36402	NA
AT2G38520	AT2TE72255
AT2G38990	AT2TE73030
AT2G40680	AT2TE76420
AT2G41570	NA
AT2G41580	AT2TE78210
AT2G41745	AT2TE78600
AT2G42050	AT2TE79235
AT2G45230	NA
AT3G02515	AT3TE02240
AT3G04605	AT3TE05245
AT3G05415	AT3TE06550
AT3G05850	AT3TE07330
AT3G06940	AT3TE09220
AT3G09165	AT3TE11850
AT3G09170	AT3TE11850
AT3G10100	AT3TE13060
AT3G11970	AT3TE16035
AT3G13250	AT3TE18040
AT3G13260	AT3TE18045
AT3G13270	AT3TE18040
AT3G13438	AT3TE18450
AT3G14500	AT3TE20530
AT3G14517	AT3TE20540
AT3G14800	AT3TE20930
AT3G15310	AT3TE21700
AT3G15320	AT3TE21700
AT3G15600	AT3TE22200
AT3G15602	AT3TE22200
AT3G17050	NA
AT3G17200	AT3TE24695
AT3G17260	NA
AT3G17290	AT3TE24820
AT3G19045	NA
AT3G20085	AT3TE29460
AT3G20975	NA
AT3G20990	AT3TE30935
AT3G21010	AT3TE30960
AT3G21020	AT3TE30965
AT3G21030	AT3TE30970
AT3G21040	AT3TE30975
AT3G21050	AT3TE30980
AT3G22133	AT3TE32750
AT3G22136	NA
AT3G22340	AT3TE33125
AT3G22955	AT3TE34145
AT3G23085	NA
AT3G23720	AT3TE35825
AT3G23725	AT3TE35825
AT3G24365	AT3TE37060
AT3G24370	AT3TE37060
AT3G24380	AT3TE37060
AT3G24385	AT3TE37060
AT3G24390	AT3TE37060
AT3G24675	AT3TE37690
AT3G24680	AT3TE37690
AT3G25450	AT3TE38565
AT3G25485	AT3TE38595
AT3G25630	NA
AT3G25725	AT3TE39220
AT3G25815	AT3TE39395
AT3G25826	AT3TE39430
AT3G26260	AT3TE40145
AT3G26265	AT3TE40145
AT3G26483	AT3TE40420
AT3G26486	NA
AT3G26525	AT3TE40530
AT3G26530	AT3TE40530
AT3G26605	AT3TE40690
AT3G26614	AT3TE40735
AT3G27327	AT3TE42075
AT3G27883	AT3TE42960
AT3G27886	AT3TE42975
AT3G27895	NA
AT3G27965	NA
AT3G28005	AT3TE43235
AT3G28010	AT3TE43255
AT3G28110	AT3TE43460
AT3G28153	AT3TE43550
AT3G28157	NA
AT3G28160	NA
AT3G28240	NA
AT3G28295	AT3TE43905
AT3G28315	AT3TE44000
AT3G28400	AT3TE44210
AT3G28412	AT3TE44240
AT3G28705	AT3TE44790
AT3G28800	AT3TE44965
AT3G28855	AT3TE45120
AT3G28865	NA
AT3G28915	AT3TE45385
AT3G28945	AT3TE45620
AT3G28955	AT3TE45630
AT3G29032	AT3TE45800
AT3G29076	AT3TE45980
AT3G29078	NA
AT3G29120	AT3TE46170
AT3G29153	AT3TE46245
AT3G29156	AT3TE46255
AT3G29175	NA
AT3G29187	AT3TE46395
AT3G29205	NA
AT3G29210	AT3TE46520
AT3G29220	AT3TE46565
AT3G29225	NA
AT3G29265	AT3TE46790
AT3G29440	AT3TE47210
AT3G29460	AT3TE47220
AT3G29470	AT3TE47220
AT3G29480	AT3TE47230
AT3G29510	AT3TE47235
AT3G29515	NA
AT3G29525	AT3TE47275
AT3G29540	AT3TE47280
AT3G29545	AT3TE47280
AT3G29550	AT3TE47280
AT3G29572	AT3TE47370
AT3G29577	AT3TE47500
AT3G29578	AT3TE47505
AT3G29595	AT3TE47555
AT3G29600	AT3TE47560
AT3G29610	AT3TE47555
AT3G29612	AT3TE47555
AT3G29615	AT3TE47595
AT3G29618	AT3TE47645
AT3G29620	NA
AT3G29632	AT3TE47885
AT3G29634	NA
AT3G29640	AT3TE47870
AT3G29641	AT3TE47880
AT3G29642	NA
AT3G29643	AT3TE47935
AT3G29647	NA
AT3G29648	AT3TE47975
AT3G29650	AT3TE47975
AT3G29660	NA
AT3G29695	AT3TE48070
AT3G29700	AT3TE48070
AT3G29710	AT3TE48070
AT3G29727	AT3TE48110
AT3G29730	AT3TE48120
AT3G29732	AT3TE48120
AT3G29734	AT3TE48135
AT3G29736	AT3TE48135
AT3G29738	NA
AT3G29739	AT3TE48150
AT3G29755	NA
AT3G29766	AT3TE48205
AT3G29767	AT3TE48225
AT3G29768	NA
AT3G29769	AT3TE48365
AT3G29771	NA
AT3G29772	AT3TE48285
AT3G29774	NA
AT3G29775	AT3TE48480
AT3G29776	AT3TE48460
AT3G29777	AT3TE48465
AT3G29778	AT3TE48455
AT3G29779	AT3TE48485
AT3G29781	AT3TE48520
AT3G29782	AT3TE48540
AT3G29783	AT3TE48535
AT3G29784	AT3TE48545
AT3G29786	NA
AT3G29787	AT3TE48555
AT3G29792	AT3TE48590
AT3G29798	AT3TE48810
AT3G29805	AT3TE48840
AT3G29820	AT3TE48860
AT3G30145	NA
AT3G30150	AT3TE49045
AT3G30170	AT3TE49090
AT3G30183	AT3TE49170
AT3G30190	NA
AT3G30211	NA
AT3G30212	NA
AT3G30213	NA
AT3G30216	NA
AT3G30218	NA
AT3G30219	NA
AT3G30240	AT3TE49470
AT3G30250	AT3TE49510
AT3G30310	AT3TE49670
AT3G30330	NA
AT3G30335	AT3TE49725
AT3G30360	AT3TE49825
AT3G30393	NA
AT3G30396	AT3TE50025
AT3G30400	NA
AT3G30405	AT3TE50120
AT3G30410	AT3TE50125
AT3G30411	AT3TE50125
AT3G30413	AT3TE50130
AT3G30416	NA
AT3G30418	NA
AT3G30420	NA
AT3G30433	AT3TE50260
AT3G30436	AT3TE50265
AT3G30440	AT3TE50295
AT3G30450	AT3TE50295
AT3G30455	AT3TE50295
AT3G30465	AT3TE50375
AT3G30470	AT3TE50375
AT3G30480	AT3TE50375
AT3G30490	AT3TE50375
AT3G30500	AT3TE50375
AT3G30505	AT3TE50375
AT3G30510	AT3TE50375
AT3G30550	AT3TE50500
AT3G30560	AT3TE50500
AT3G30570	NA
AT3G30582	NA
AT3G30585	AT3TE50570
AT3G30587	NA
AT3G30590	AT3TE50570
AT3G30600	AT3TE50570
AT3G30610	AT3TE50570
AT3G30620	AT3TE50595
AT3G30630	AT3TE50605
AT3G30640	NA
AT3G30645	AT3TE50610
AT3G30650	NA
AT3G30655	AT3TE50630
AT3G30660	AT3TE50630
AT3G30663	AT3TE50650
AT3G30665	AT3TE50655
AT3G30668	NA
AT3G30670	AT3TE50675
AT3G30680	AT3TE50675
AT3G30685	AT3TE50685
AT3G30690	AT3TE50760
AT3G30695	AT3TE50760
AT3G30700	AT3TE50760
AT3G30703	AT3TE50775
AT3G30708	AT3TE50875
AT3G30709	AT3TE50875
AT3G30710	AT3TE50890
AT3G30711	AT3TE50890
AT3G30712	AT3TE50900
AT3G30713	AT3TE50940
AT3G30715	AT3TE50955
AT3G30716	NA
AT3G30717	AT3TE51075
AT3G30718	AT3TE51110
AT3G30719	AT3TE51130
AT3G30721	AT3TE51140
AT3G30722	NA
AT3G30724	AT3TE51155
AT3G30727	NA
AT3G30737	NA
AT3G30742	AT3TE51240
AT3G30743	AT3TE51250
AT3G30744	AT3TE51250
AT3G30745	AT3TE51270
AT3G30746	NA
AT3G30747	NA
AT3G30748	AT3TE51345
AT3G30749	NA
AT3G30750	AT3TE51345
AT3G30751	AT3TE51250
AT3G30755	AT3TE51345
AT3G30760	AT3TE51350
AT3G30763	AT3TE51350
AT3G30764	NA
AT3G30765	AT3TE51380
AT3G30766	NA
AT3G30767	AT3TE51380
AT3G30780	AT3TE51460
AT3G30790	AT3TE51460
AT3G30800	NA
AT3G30802	AT3TE51505
AT3G30803	NA
AT3G30810	AT3TE51535
AT3G30811	AT3TE51535
AT3G30814	AT3TE51545
AT3G30815	AT3TE51550
AT3G30816	AT3TE51565
AT3G30818	AT3TE51580
AT3G30819	AT3TE51590
AT3G30821	NA
AT3G30825	NA
AT3G30827	AT3TE51660
AT3G30830	NA
AT3G30831	AT3TE51675
AT3G30832	AT3TE51685
AT3G30833	AT3TE51685
AT3G30834	AT3TE51690
AT3G30836	AT3TE51735
AT3G30837	AT3TE51735
AT3G30838	NA
AT3G30839	AT3TE51795
AT3G30843	AT3TE51900
AT3G30844	AT3TE51895
AT3G30846	AT3TE51930
AT3G30848	AT3TE51945
AT3G30852	NA
AT3G30859	AT3TE51985
AT3G31023	AT3TE52110
AT3G31300	AT3TE52135
AT3G31310	AT3TE52155
AT3G31312	AT3TE52155
AT3G31314	NA
AT3G31317	NA
AT3G31320	AT3TE52215
AT3G31330	AT3TE52240
AT3G31340	NA
AT3G31355	AT3TE52300
AT3G31356	NA
AT3G31357	AT3TE52335
AT3G31358	NA
AT3G31359	NA
AT3G31360	NA
AT3G31365	NA
AT3G31367	AT3TE52415
AT3G31370	AT3TE52420
AT3G31373	AT3TE52430
AT3G31374	AT3TE52435
AT3G31375	AT3TE52445
AT3G31377	AT3TE52450
AT3G31380	AT3TE52465
AT3G31390	NA
AT3G31395	AT3TE52495
AT3G31403	AT3TE52540
AT3G31406	AT3TE52540
AT3G31410	NA
AT3G31420	NA
AT3G31422	AT3TE52590
AT3G31440	AT3TE52625
AT3G31442	AT3TE52630
AT3G31450	AT3TE52665
AT3G31460	AT3TE52675
AT3G31470	AT3TE52695
AT3G31475	AT3TE52705
AT3G31490	AT3TE52725
AT3G31500	NA
AT3G31530	AT3TE52775
AT3G31540	AT3TE52775
AT3G31630	AT3TE52805
AT3G31720	AT3TE52800
AT3G31810	AT3TE52860
AT3G31904	AT3TE52935
AT3G31905	AT3TE52935
AT3G31909	AT3TE52995
AT3G31915	NA
AT3G31920	AT3TE53045
AT3G31930	NA
AT3G31935	AT3TE53080
AT3G31940	AT3TE53090
AT3G31945	NA
AT3G31955	AT3TE53130
AT3G31970	AT3TE53170
AT3G31980	AT3TE53185
AT3G31990	NA
AT3G31993	NA
AT3G31996	AT3TE53215
AT3G32000	AT3TE53215
AT3G32010	AT3TE53215
AT3G32020	AT3TE53215
AT3G32021	NA
AT3G32022	AT3TE53245
AT3G32023	NA
AT3G32024	AT3TE53245
AT3G32026	AT3TE53245
AT3G32027	AT3TE53245
AT3G32028	AT3TE53245
AT3G32029	AT3TE53305
AT3G32031	AT3TE53325
AT3G32032	AT3TE53350
AT3G32033	NA
AT3G32035	AT3TE53375
AT3G32043	NA
AT3G32060	AT3TE53580
AT3G32070	AT3TE53580
AT3G32080	AT3TE53580
AT3G32091	NA
AT3G32092	AT3TE53605
AT3G32093	AT3TE53615
AT3G32095	NA
AT3G32110	AT3TE53630
AT3G32112	AT3TE53640
AT3G32115	NA
AT3G32116	AT3TE53690
AT3G32118	AT3TE53690
AT3G32135	AT3TE53745
AT3G32140	AT3TE53745
AT3G32164	NA
AT3G32168	NA
AT3G32172	AT3TE53835
AT3G32176	AT3TE53835
AT3G32195	NA
AT3G32205	NA
AT3G32210	AT3TE53970
AT3G32220	AT3TE53970
AT3G32223	AT3TE53975
AT3G32226	AT3TE53985
AT3G32230	NA
AT3G32240	AT3TE54005
AT3G32250	NA
AT3G32270	AT3TE54065
AT3G32275	NA
AT3G32290	AT3TE54180
AT3G32295	AT3TE54180
AT3G32300	AT3TE54180
AT3G32305	NA
AT3G32320	AT3TE54295
AT3G32340	NA
AT3G32360	AT3TE54330
AT3G32373	AT3TE54385
AT3G32383	NA
AT3G32385	AT3TE54455
AT3G32389	AT3TE54500
AT3G32391	AT3TE54500
AT3G32393	AT3TE54510
AT3G32394	AT3TE54510
AT3G32395	AT3TE54510
AT3G32397	AT3TE54510
AT3G32405	NA
AT3G32415	AT3TE54550
AT3G32425	AT3TE54575
AT3G32435	NA
AT3G32455	AT3TE54650
AT3G32465	AT3TE54655
AT3G32475	NA
AT3G32677	AT3TE54690
AT3G32880	AT3TE54705
AT3G32890	AT3TE54705
AT3G32893	AT3TE54710
AT3G32894	AT3TE54710
AT3G32895	AT3TE54760
AT3G32897	AT3TE54735
AT3G32898	AT3TE54735
AT3G32899	AT3TE54780
AT3G32900	AT3TE54815
AT3G32901	AT3TE54815
AT3G32902	NA
AT3G32903	AT3TE54760
AT3G32910	AT3TE54815
AT3G32912	AT3TE54820
AT3G32914	NA
AT3G32917	AT3TE54865
AT3G32925	AT3TE54905
AT3G32950	NA
AT3G32962	AT3TE54985
AT3G32964	AT3TE54985
AT3G32966	NA
AT3G32968	AT3TE55010
AT3G32970	AT3TE55025
AT3G32975	AT3TE55035
AT3G33005	NA
AT3G33006	AT3TE55155
AT3G33008	AT3TE55155
AT3G33009	AT3TE55160
AT3G33010	AT3TE55195
AT3G33011	NA
AT3G33030	AT3TE55205
AT3G33035	AT3TE55230
AT3G33045	NA
AT3G33055	AT3TE55240
AT3G33058	NA
AT3G33064	AT3TE55360
AT3G33065	AT3TE55410
AT3G33066	AT3TE55360
AT3G33067	AT3TE55395
AT3G33069	AT3TE56630
AT3G33070	AT3TE55430
AT3G33071	AT3TE55375
AT3G33072	NA
AT3G33073	AT3TE55395
AT3G33074	AT3TE55375
AT3G33075	NA
AT3G33076	NA
AT3G33077	AT3TE55395
AT3G33079	AT3TE55355
AT3G33080	AT3TE56700
AT3G33081	AT3TE55355
AT3G33082	NA
AT3G33083	AT3TE55345
AT3G33084	NA
AT3G33085	AT3TE55340
AT3G33091	AT3TE56700
AT3G33094	AT3TE56700
AT3G33097	AT3TE56730
AT3G33100	AT3TE56740
AT3G33106	AT3TE57050
AT3G33109	AT3TE57050
AT3G33112	AT3TE57060
AT3G33115	AT3TE57085
AT3G33118	AT3TE57085
AT3G33121	AT3TE57095
AT3G33124	NA
AT3G33127	AT3TE57150
AT3G33130	AT3TE57165
AT3G33131	AT3TE57165
AT3G33133	NA
AT3G33136	NA
AT3G33139	NA
AT3G33142	AT3TE57265
AT3G33145	AT3TE57275
AT3G33148	AT3TE57275
AT3G33151	AT3TE57310
AT3G33154	AT3TE57340
AT3G33157	AT3TE57345
AT3G33160	AT3TE57360
AT3G33163	NA
AT3G33166	AT3TE57395
AT3G33169	AT3TE57395
AT3G33172	AT3TE57445
AT3G33175	NA
AT3G33178	NA
AT3G33181	NA
AT3G33185	AT3TE57500
AT3G33189	AT3TE57550
AT3G33193	NA
AT3G33197	AT3TE57920
AT3G33201	NA
AT3G33215	AT3TE57835
AT3G33225	AT3TE57780
AT3G33230	AT3TE57780
AT3G33235	AT3TE57780
AT3G33377	AT3TE57780
AT3G33448	AT3TE57780
AT3G33537	NA
AT3G33545	AT3TE57655
AT3G33555	AT3TE57670
AT3G33565	NA
